User_id,,,,,
User 1132,2022/1/1,,,,
User 1144,2021/11/18,2021/12/27,2022/1/15,,
User 1148,2022/3/25,,,,
User 1153,2021/11/4,,,,
User 1162,2022/3/7,2022/5/23,,,
User 1163,2021/9/5,2021/12/23,2022/1/7,2022/2/8,2022/4/8
User 1176,2021/9/1,2021/12/10,2021/12/31,,
User 1180,2021/10/4,2021/11/7,,,
User 1182,2021/9/9,2022/3/8,,,
User 1188,2022/1/8,,,,
User 1199,2022/1/9,,,,
User 1202,2022/2/25,2022/3/6,2022/3/13,,
User 1205,2022/3/10,2022/3/16,2022/3/27,2022/4/15,
User 1209,2022/2/24,,,,
User 1226,2022/5/13,,,,
User 1228,2021/9/30,2021/10/18,,,
User 1230,2021/11/11,,,,
User 1234,2022/4/30,,,,
User 1236,2021/11/21,2021/12/31,,,
User 1240,2021/8/10,2021/8/24,2021/9/27,2021/10/5,2021/10/19
User 1244,2021/12/24,,,,
User 1254,2022/1/2,2022/2/3,,,
User 1275,2021/9/27,2021/11/3,2021/11/16,,
User 1282,2021/11/4,,,,
User 1305,2021/12/19,2022/7/1,,,
User 1306,2022/5/19,,,,
User 1307,2022/1/18,,,,
User 1312,2021/11/1,,,,
User 1318,2021/7/18,2021/9/16,,,
User 1332,2021/10/28,2021/11/26,,,
User 1334,2021/12/6,2022/2/2,,,
User 1337,2022/4/25,2022/4/28,,,
User 1342,2021/8/8,2021/8/26,2021/9/5,2021/9/22,
User 1352,2022/2/15,,,,
User 1353,2021/10/22,,,,
User 1360,2021/7/26,2021/8/24,2021/9/28,,
User 1366,2021/10/22,2021/12/28,,,
User 1370,2022/2/15,2022/2/28,,,
User 1372,2021/9/19,2021/10/5,2021/11/20,,
User 1373,2022/5/4,2022/5/25,,,
User 1382,2021/10/21,,,,
User 1385,2021/12/15,2021/12/31,,,
User 1401,2022/2/22,,,,
User 1408,2022/3/19,,,,
User 1410,2021/12/4,2022/1/4,2022/3/3,,
User 1411,2021/12/9,,,,
User 1422,2021/12/26,2021/12/31,,,
User 1423,2021/8/24,,,,
User 1433,2021/12/3,,,,
User 1435,2021/12/25,2022/3/1,2022/3/31,2022/4/26,
User 1438,2021/10/19,2021/11/2,,,
User 1454,2021/12/8,2022/1/8,,,
